Row Labels,Sum of Total Available Quantity
BKOLL03MCF09-133B,0
BKOLL03MCF09-133C,0
BKOLL03MCF15-87A,0
BKOLL03MCF15-87B,0
BOBCF155RC16L42-4832,0
BOBKJ127RL43-1243A,0
BOKCF36SC17L42-3022H,0
BOKCF36SC17L42-3022I,1
BOKCH02SC14L37-3249B,0
BOKCH02SC14L37-3462,0
BOKCH02SC14L39-3266,0
BOMAF897SL54-6265,27
BOMAF897SL54-6400,29
BOMAF897SL54-6442,58
BOMAH155X-FK0023,1
BOMBS03SL50-5008,0
BOMBS03SL50-5010,20
BOMBS03SL50-5013,2
BOMBS03SL51-5007,3
BOMBS03XL53-4688A,10
BOMBS03XL53-4874,2
BOMBS03XL53-5016,24
BOMBS03XL53-5036,3
BOMBS03XL54-5010,46
BOMCF02RC23L39-3249A,0
BOMCF02RC23L39-3249B,0
BOMCF02SC20L38-4510,0
BOMCF09SC20L04-162A,0
BOMCF09SC20L04-162B,0
BOMCF09SC20L32-3022P,0
BOMCF1071R-FW0381,68
BOMCF1071R-FW0382,62
BOMCF1071R-FW0492,63
BOMCF1071R-FW0493,57
BOMCF1072R-FW0290,46
BOMCF1072R-FW0291,45
BOMCF1072R-FW0292,28
BOMCF1072R-FW0293,75
BOMCF1072R-FW0294,55
BOMCF1072R-FW0295,58
BOMCF1093R-FW0140-C249,1
BOMCF1093R-FW0141-C269,0
BOMCF1093R-FW0544-C206,26
BOMCF1117X-FW0217-C339,75
BOMCF1117X-FW0218-C076,43
BOMCF151SL43-4872,0
BOMCF155R-6015,2
BOMCF155R-6067,22
BOMCF155R-6588A,0
BOMCF155R-6588B,4
BOMCF155R-FW0137,69
BOMCF155R-FW0180,13
BOMCF155R-FW0213-C204,127
BOMCF155R-FW0310-C048,226
BOMCF155R-FW0311,37
BOMCF155R-FW0312,47
BOMCF155R-FW0327-C001,121
BOMCF155R-FW0328-C001,150
BOMCF155R-FW0333-C178,156
BOMCF155R-FW0336-C178,148
BOMCF155R-FW0337-C178,155
BOMCF155R-FW0398,62
BOMCF155R-FW0399,26
BOMCF155R-FW0427,114
BOMCF155R-FW0428,137
BOMCF155R-FW0449,136
BOMCF155R-FW0450,134
BOMCF155R-FW0452,121
BOMCF155R-FW0455,139
BOMCF155R-FW0507,25
BOMCF155R-FW0511,35
BOMCF155R-FW0538-C178,162
BOMCF155R-FW0594,21
BOMCF155RL47-5007,3
BOMCF155RL47-5010,2
BOMCF155RL47-5012,0
BOMCF155RL53-6169,5
BOMCF155RL53-6268A,21
BOMCF155RL53-6268B,20
BOMCF155RL53-6376,12
BOMCF155RL53-6428A,24
BOMCF155RL53-6428B,11
BOMCF155RL53-6443,5
BOMCF155RL53-6445,21
BOMCF155RL53-6446,19
BOMCF155RL53-6482,1
BOMCF155RL53-6493,4
BOMCF155RL53-6494,2
BOMCF155SC22L40-4726,1
BOMCF155S-FW0075-C254,1146
BOMCF155S-FW0194,46
BOMCF155S-FW0195,57
BOMCF155SL53-6182,1
BOMCF155SL53-6183,80
BOMCF155SL53-6184,26
BOMCF155SL53-6463A,4
BOMCF155SL53-6463B,48
BOMCF155SL53-6464A,0
BOMCF155SL53-6464B,2
BOMCF155SL53-6465A,34
BOMCF155SL53-6465B,1
BOMCF155SL53-6466A,13
BOMCF155SL53-6466B,19
